DateOfMeet,MeetName,Location
22-Sep,Four County XC Meet #2 @ Pender,"Burgaw, NC"
22-Sep,Gaston County Championship,"Gastonia, NC"
22-Sep,Leesville Road Home Meet,"Raleigh, NC"
22-Sep,Millbrook at Wakefield,"Raleigh, NC"
22-Sep,North Duplin Home Meet,"Seven Springs, NC"
22-Sep,North Forsyth Home Meet,"Winston-Salem, NC"
22-Sep,North Iredell Home Meet,"Statesville, NC"
22-Sep,R-S Invitational,"Rutherfordton, NC"
22-Sep,Riverside High School Home Meet,"Durham, NC"
22-Sep,SD-7 Pre-Conference Meet,"Newton, NC"
22-Sep,"SEC Meet # 3 Scot, Rich, Pine","Laurinburg, NC"
22-Sep,South Granville Home Meet,"Creedmoor, NC"
22-Sep,Wake Forest Home Meet,"Wake Forest, NC"
22-Sep,West Davidson Home Meet,"Lexington, NC"
22-Sep,Western Guilford Home Meet,"Greensboro, NC"
23-Sep,3A Two Rivers Tri Meet #3,"Wendell, NC"
23-Sep,ACA Invitational,"Swannanoa, NC"
23-Sep,CPC Preview,"Clemmons, NC"
23-Sep,East Forsyth Home Meet,"Kernersville, NC"
23-Sep,Eastern Alamance/Williams/Western Alamance CC meet Entries Closed,"Burlington, NC"
23-Sep,Jeremy Gaines Invitational,"Fayetteville, NC"
23-Sep,New Bern / JH Rose / SC,"New Bern, NC"
23-Sep,Northeastern Coastal Conference Meet #3 at Pasquotank,"Elizabeth City, NC"
23-Sep,PAC-6 Tri Meet,"Durham, NC"
23-Sep,Perquimans County HS Meet,"Hertford, NC"
23-Sep,Riverside (1A),"Williamston, NC"
23-Sep,Riverside (1A) vs. Rocky Mount Prep,"Williamston, NC"
23-Sep,South Lenoir Home Meet #1,"Deep Run, NC"
23-Sep,Tar Roanoke Athletic Conference Meet #3,"Stem, NC"
23-Sep,Tarboro & North Edgecombe @ South Creek,"Robersonville, NC"
23-Sep,Three Rivers @ Luther Britt-9/23/15,"Lumberton, NC"
23-Sep,WakeMed Regular Season Meet,"Cary, NC"
23-Sep,Wheatmore Home Meet,"Trinity, NC"
24-Sep,Ardrey Kell Backyard Meet,"Charlotte, NC"
24-Sep,EPIC Meet #3,"Cary, NC"
24-Sep,EPIC Meet #3,"Cary, NC"
24-Sep,Hawbridge Home Meet,"Saxapahaw, NC"
24-Sep,Laney Home Meet,"Wilmington, NC"
24-Sep,S D 7 home meet Sally's Y,"Denver, NC"
24-Sep,Union County Championship,"Monroe, NC"
25-Sep,Brevard Invitational,"Brevard, NC"
