DateOfMeet,MeetName,Location
4-Sep,Tarboro/NE/Southcreek @ NE,"Tarboro, NC"
4-Sep,Tri meet,"Randleman, NC"
5-Sep,Southern Vance Tri Meet,"Henderson, NC"
5-Sep,Wheatmore Home Meet,"Trinity, NC"
7-Sep,adidas Seahawk Invitational Entries Closed,"Wilmington, NC"
7-Sep,Cannon Invitational,"Concord, NC"
7-Sep,Durham Academy Invitational,"Durham, NC"
7-Sep,GSM Cross Country Festival,"Cullowee, NC"
7-Sep,Knights Invitational Entries Closed,"Rocky Mount, NC"
7-Sep,Myers Park XC Invitational,"Charlotte, NC"
7-Sep,North Forsyth Cross Country Invitational,"Winston-Salem, NC"
9-Sep,Davidson County Meet,"Denton, NC"
9-Sep,Granville County (Tar River) Cup,"Oxford, NC"
9-Sep,Granville County XC Invite,"Oxford, NC"
9-Sep,Northampton vs Riverside 1A,", NC"
9-Sep,Southern District 7 Meet,"Catawba, NC"
9-Sep,Southern Guilford Cross Country Inivitational,"Greensboro, NC"
10-Sep,3A Coastal Conference Kick-Off,", NC"
10-Sep,"BC, HH, HT, NG, RR, SP @ FV","Gastonia, NC"
10-Sep,CISAA-GCMSAA Regular Season Meet,"Charlotte, NC"
10-Sep,Elk's Club,"Southern Pines, NC"
10-Sep,EPIC Regular Season Meet,"Cary, NC"
10-Sep,Marvin Ridge Home Meet,"Waxhaw, NC"
10-Sep,Pinecrest Home SEC Meet,"Southern Pines, NC"
10-Sep,Reagan/N. Guilford/Parkland Tri Meet,"Clemmons, NC"
10-Sep,Sanderson Home Meet,", NC"
10-Sep,SEC MEET # 2,"Southern Pines, NC"
10-Sep,SMAC Pre-Conference Meet,"Kings Mountain, NC"
10-Sep,Statesville Invitational,"Statesville, NC"
10-Sep,YVC East - North Moore,"Robbins, NC"
10-Sep,YVC West at Gray Stone Day,"Misenheimer, NC"
11-Sep,Atkins Home Meet,"Atkins, NC"
11-Sep,Big East Conference,"Wilson, NC"
11-Sep,Cape Fear Valley Conf. Meet,"Sanford, NC"
11-Sep,Cape Fear Valley Meet,"Fayetteville, NC"
11-Sep,ECC Meet @ CB Aycock,"Pikeville, NC"
11-Sep,ECC Meet @ Southern Wayne HS,"Dudley, NC"
11-Sep,ECC Meet North Lenoir vs. South Lenoir,"Lagrange, NC"
11-Sep,Metro #1,"Pleasant Garden, NC"
11-Sep,Northwood Home Meet,"Pittsboro, NC"
11-Sep,O'Neal Healy Invitational,"Southern Pines, NC"
11-Sep,Owen Invitational,"Black Mountain, NC"
11-Sep,Pasquotank Home meet,"Elizabeth City, NC"
11-Sep,Piedmont Triad,"Pleasant Garden, NC"
11-Sep,Pine Forest Home Meet,"Fayetteville, NC"
11-Sep,Richmond Senior Home Meet,"Rockingham, NC"
11-Sep,Riverside 1A vs North Edgecombe,"Williamston, NC"
11-Sep,Riverside Home Meet,"Williamston, NC"
11-Sep,Riverside vs Northampton,"Williamston, NC"
11-Sep,Tarboro/Northampton/NE @ Northampton,", NC"
11-Sep,Tarboro/Northampton/Southcreek @ Northampton,", NC"
11-Sep,Wake Forest High Home Meet,"Wake Forest, NC"
12-Sep,Cardinal Gibbons Quad,"Raleigh, NC"
12-Sep,CCC Regular Season Meet,"Goldsboro, NC"
12-Sep,Hagan Stone Meet,"Pleasant Garden, NC"
12-Sep,River Mill Academy Cross Country meet at Cedarock Park,"Burlington, NC"
12-Sep,Wesy Brunswick Tri-Meet,", NC"
14-Sep,5 Stage 8 Mile Relay,"Pleasant Garden, NC"
14-Sep,Asheville Cross Country Carnival,"Swannanoa, NC"
14-Sep,Pam Pack Invitional,"Washington, NC"
14-Sep,Weddington XC Invitational,"Matthews, NC"
16-Sep,Hendersonville Invitational,"Fletcher, NC"
16-Sep,"Riverside 1A vs South Creek, SW Edgecombe, Rocky Mount Prep.","Williamston, NC"
16-Sep,Tarboro vs Riverside 1A,"Tarboro, NC"
17-Sep,"Ash, BC, HH, SC @ NGHS","Dallas, NC"
17-Sep,CAA @ Christ School,"Arden, NC"
17-Sep,Catawba County Championship,"Catawba, NC"
17-Sep,Chapel Hill Home Meet,"Chapel Hill, NC"
17-Sep,CISAA/MAC Meet,"Gastonia, NC"
17-Sep,Coastal 3A Regular Season Meet,"Jacksonville, NC"
17-Sep,Forsyth Country Day Home Meet,"Lewisville, NC"
17-Sep,Hoke County Home Meet SEC #3,"Raeford, NC"
17-Sep,Iredell County Championship,"Statesville, NC"
17-Sep,Luther Britt Park-Three Rivers-9/17/13,"Lumberton, NC"
17-Sep,North Forsyth Home Meet,"Winston-Salem, NC"
17-Sep,Northwood Quad,"Pittsboro, NC"
17-Sep,Pamlico Home Meet,"Pamlico, NC"
17-Sep,Raleigh Charter Home Meet,"Cary, NC"
17-Sep,SEC Meet # 3,"Lumberton, NC"
17-Sep,Shelby Invitational,"Shelby, NC"
17-Sep,Southern Vance,"Henderson, NC"
17-Sep,SPC Pre-Conference Meet,"Concord, NC"
17-Sep,West Wilkes Pre-Conference Meet,"Millers Creek, NC"
17-Sep,Western Piedmont Athletic Forbush Meet,", NC"
17-Sep,YVC Super Meet - North Stanly,"New London, NC"
18-Sep,Big East Conference,", NC"
18-Sep,Broughton Home Meet,"Cary, NC"
18-Sep,Cape Fear Valley Regular Season Meet,"Cameron, NC"
18-Sep,"Coastal Conference XC Meet (HHS, WCravenHS @ WCartert HS",", NC"
18-Sep,CPC Pre-Conference,"Clemmons, NC"
18-Sep,ECC Meet JH Rose / DH Conley / EW/ SW / CB Aycock / S Central @,"New Bern, NC"
18-Sep,Green Hope Home Meet,"Cary, NC"
18-Sep,Jeremy Gaines Invitational,"Rocky Mount, NC"
18-Sep,Konehete Invitational,"Murphy, NC"
18-Sep,Leesville Home Meet,"Raleigh, NC"
18-Sep,Metro Meet,"Graham, NC"
18-Sep,Mid-South Meet #2,"Hope Mills, NC"
18-Sep,Millbrook at Wakefield,"Cary, NC"
18-Sep,NCC Regular Season Meet #3,"Edenton, NC"
18-Sep,Piedmont Triad,"High Point, NC"
18-Sep,Riverside vs Rocky Mount Prep,"Williamston, NC"
18-Sep,Rocky Mount Prep. vs Riverside 1A,"Rocky Mount, NC"
18-Sep,Tarboro/Northampton/Southcreek @ Indian Lake,"Tarboro, NC"
18-Sep,TRAC-Conference Meet,"Various, NC"
18-Sep,Wake Forest High Home Meet,"Wake Forest, NC"
18-Sep,Watauga Home Meet,"Boone, NC"
18-Sep,Williams Home Meet,"Burlington, NC"
19-Sep,Ardrey Kell Home Meet,"Charlotte, NC"
19-Sep,CCC Regular Season Meet,"Goldsboro, NC"
19-Sep,EPIC Regular Season Meet,"Cary, NC"
19-Sep,MEC Regular Season Meet,"Wilmington, NC"
19-Sep,Southwest Guilford Home Meet,"Kernersville, NC"
9/209/21,adidas Cross Country Challenge,"Cary, NC"
21-Sep,Beeson Park Invitational Entries Closed,"Kernersville, NC"
21-Sep,Bo Run,"Winterville, NC"
21-Sep,Freedom Invitational Entries Closed,"Morganton, NC"
21-Sep,Hare and Hounds Invitational,"Charlotte, NC"
21-Sep,Onslow County Cup,"Jacksonville, NC"
23-Sep,Mount Airy Meet,"Dobson, NC"
23-Sep,South Creek vs Riverside 1A,", NC"
24-Sep,Burke County Championship,"Morganton, NC"
24-Sep,Cedar Ridge,"Hillsborough, NC"
24-Sep,Chatham Central - YVC East,"Bear Creek, NC"
24-Sep,Cummings Home Meet,"Burlington, NC"
24-Sep,East Wake Academy Home Meet,"Wendell, NC"
24-Sep,Epiphany School Home Meet,"New Bern, NC"
24-Sep,Gaston County Championships,"Gastonia, NC"
24-Sep,Gil Murdock Memorial Relays,"Charlotte, NC"
24-Sep,"McMichael, Eastern Alamance, Northern Guilford Tri Meet","Greensboro, NC"
24-Sep,Orange Home Meet,"Hillborough, NC"
24-Sep,Rockingham County Home Meet,"Reidsville, NC"
24-Sep,Scotland Home Meet,"Laurinburg, NC"
24-Sep,SEC MEET # 4,"Lumberton, NC"
24-Sep,SW Randolph Home Meet,"Asheboro, NC"
24-Sep,Union County Championship,"Wingate, NC"
24-Sep,Western Alamance Home Meet,"Elon, NC"
24-Sep,Whiteville-Three Rivers-9/24/13,"Whiteville, NC"
25-Sep,ACA Invitational,"Swannanoa, NC"
25-Sep,Big East Conference,"Rocky Mount, NC"
25-Sep,Big East Conference,"Rocky Mount, NC"
25-Sep,Broughton at Wakefield,"Raleigh, NC"
25-Sep,Cape Fear Valley Conf. Meet,"Fayetteville, NC"
25-Sep,"Coastal Conference XC Meet (HHS, JHS, WCartHS, @ White Oak HS)",", NC"
25-Sep,ECC Meet @ Boyd Lee Greenville,"Greenville, NC"
25-Sep,ECC Meet Greene Central vs. South Lenoir,", NC"
25-Sep,Glenn v Northwest Guilford,"Kernersville, NC"
25-Sep,Metro #2,"Graham, NC"
25-Sep,NCC Meet #4,"Kill Devil Hills, NC"
25-Sep,North Meck Backyard Meet,"Charlotte, NC"
25-Sep,North Meck Home Meet,"Charlotte, NC"
25-Sep,Piedmont Triad,"Pleasant Garden, NC"
25-Sep,Riverside vs Northampton,"Williamston, NC"
25-Sep,Rowan County Championship,"Salisbury, NC"
25-Sep,South Granville,"Creedmoor, NC"
25-Sep,South Granville Home Meet,"Creedmoor, NC"
25-Sep,Southwest Guilford Home Meet,"High Point, NC"
25-Sep,Tarboro/Southcreek/Riverside @ Southcreek,", NC"
25-Sep,TRAC- Conference Meet,"Various, NC"
25-Sep,Wake Forest High Home Meet,"Wake Forest, NC"
25-Sep,Washington Home Meet,"Washington, NC"
25-Sep,Wheatmore Home Meet,"Trinity, NC"
26-Sep,Arendell Parrott Home Meet,"Kinston, NC"
26-Sep,Brevard Invitational,"Brevard, NC"
26-Sep,EPIC Regular Season Meet,"Kinston, NC"
26-Sep,Epiphany Home Meet 2,"New Bern, NC"
26-Sep,Laney Quad Meet,"Wilmington, NC"
26-Sep,Myers Park Home Meet,"Charlotte, NC"
28-Sep,Greensboro Cross Country Invitational Entries Closed,"Pleasant Garden, NC"
28-Sep,Charlotte Cross Country Invitational,"Charlotte, NC"
28-Sep,Gaston Day,"Gastonia, NC"
28-Sep,High Country CC Classic Entries Closed,"Boone, NC"
28-Sep,Patriot Derby Classic Entries Closed,"Hoke County, NC"
28-Sep,Pirate Invitational,"Greenville, NC"
30-Sep,Louisburg,", NC"
30-Sep,North Edgecombe vs Riverside 1A,", NC"
30-Sep,SA vs Greensboro Day,"Graham, NC"
1-Oct,Cabarrus County Championship,"Concord, NC"
1-Oct,Cape Fear Academy Home Invite,"Wilmington, NC"
1-Oct,Central Davidson Home Meet,"Lexington, NC"
1-Oct,Chapel Hill Home Meet,"Chapel Hill, NC"
1-Oct,Cleveland County Championship,"Shelby, NC"
1-Oct,Covenant Day MAC Meet,"Charlotte, NC"
1-Oct,Durham County Meet,"Durham, NC"
1-Oct,"EG, SC @ NGHS","Dallas, NC"
1-Oct,EPIC Regular Season Meet,"Rocky Mount, NC"
1-Oct,JF Webb Quad,"Oxford, NC"
1-Oct,Luther Britt Park-Three Rivers-10/1/13,"Lumberton, NC"
1-Oct,North Piedmont Regular Season Meet,"Statesville, NC"
1-Oct,Pinecrest SEC Meet,"Southern Pines, NC"
1-Oct,Princeton Home Meet,"Princeton, NC"
1-Oct,Richmond Senior SEC Meet,"Rockingham, NC"
1-Oct,South Stanly Super Meet,"Norwood, NC"
1-Oct,Southern District 7 Meet,"Denver, NC"
1-Oct,Southern Piedmont 1A Pre Conference Meet,"Davidson, NC"
1-Oct,West Stokes,"King, NC"
1-Oct,western Piedmont Athletic W. Stokes Meet,"King, NC"
2-Oct,Big East Conference,", NC"
2-Oct,Cape Fear Valley Conf. Meet,"Cameron, NC"
2-Oct,CISAA/GCMSAA Conference Meet,"Charlotte, NC"
2-Oct,"Coastal Conference XC Meet (HHS, RHS @ White Oak)","Jacksonville, NC"
2-Oct,Durham School of the Arts,"Durham, NC"
2-Oct,ECC Meet @ Eastern Wayne,"Goldsboro, NC"
2-Oct,Franklin Invitational,", NC"
2-Oct,Heritage Home Meet,"Wake Forest, NC"
2-Oct,Leesville Road Home Meet,"Raleigh, NC"
2-Oct,NCC Meet #5,"Edenton, NC"
2-Oct,Northwestern 3A/4A Pre-Conference,"Morganton, NC"
2-Oct,Piedmont Triad,"Kernersville, NC"
2-Oct,Southwest Guilford at Northwest Guilford,"Greensboro, NC"
2-Oct,SWAC Meet #3,"Cary, NC"
2-Oct,Tarboro/Northampton/Riverside @ Indian Lake,"Tarboro, NC"
2-Oct,Wheatmore Home Meet,"Trinity, NC"
3-Oct,Mid-Eastern Confernce Tri-Meet,"Southport, NC"
3-Oct,Mid-State Tri Meet,"Burlington, NC"
3-Oct,New Hanover Home Meet,"Wilmington, NC"
5-Oct,Great American Cross Country Festival,"Cary, NC"
5-Oct,Hagan Stone XC Classic Entries Closed,"Pleasant Garden, NC"
5-Oct,Mount Gilead Thill Invitational,"Mount Gilead, NC"
5-Oct,Wendy's Invitational,"Charlotte, NC"
7-Oct,Big South Freshman-Sophomore Meet,"Dallas, NC"
7-Oct,EPIC Regular Season Meet,"Wendell, NC"
7-Oct,Wilson County Championship,"Wilson, NC"
8-Oct,Cannon School Home Meet,"Concord, NC"
8-Oct,Cedar Ridge,"Hillsborough, NC"
8-Oct,Coastal Conference @ Swansboro HS,"Swansboro, NC"
8-Oct,Forestview Home Meet,"Gastonia, NC"
8-Oct,Franklinton HOME,"Franklinton, NC"
8-Oct,Ledford Home Meet,"Thomasville , NC"
8-Oct,Metrolina Christian home meet,", NC"
8-Oct,"Oak Ridge, Noble, Westover Christian",", NC"
8-Oct,"Rockingham County, Western Alamance, Northern Guilford Tri Meet","Rockingham, NC"
8-Oct,SEC MEET # 5,"Laurinburg, NC"
8-Oct,SEC Meet #5 at Lumberton,"Lumberton, NC"
8-Oct,Western Guilford Home Meet,"Greensboro, NC"
8-Oct,Whiteville Home Meet,"Whiteville, NC"
9-Oct,2A ECC Tune Up Meet @ South Lenoir,"Deep Run, NC"
9-Oct,Big East Conference Regular Season Meet,"Wilson, NC"
9-Oct,Broughton Home Meet,"Cary, NC"
9-Oct,Eastern Alamance Home Meet,"Burlington, NC"
9-Oct,ECC Meet @ Boyd Lee Park,"Greenville, NC"
9-Oct,EPIC Regular Season Meet,", NC"
9-Oct,Metro #3,"Pleasant Garden, NC"
9-Oct,Mid-South Meet #4,"Fayetteville, NC"
9-Oct,NCC Meet #6,"Elizabeth City, NC"
9-Oct,Piedmont Triad,", NC"
9-Oct,Southwest Guilford Home Meet,"High Point, NC"
9-Oct,Tarboro/Rocky Mt. Prep/NE @ Rocky Mt. Prep,"Rocky Mount, NC"
9-Oct,United Way Invitational,"Newton, NC"
9-Oct,Wake Forest High Home Meet,"Wake Forest, NC"
9-Oct,"Wakefield, Leesville, Panther Creek, Green Hope Quad","Cary, NC"
10-Oct,New Hanover County Championship,"Wilmington, NC"
10-Oct,Riverside (1A) Home Meet,"Williamston, NC"
12-Oct,Frosh/Soph Invitational Entries Closed,"Kernersville, NC"
14-Oct,MAC Championships,"Charlotte, NC"
14-Oct,Southern District 7 Athletic Conference Championship,"Newton, NC"
15-Oct,Big Eight 3A Conference Championship,"Pittsboro, NC"
15-Oct,CAP-8 Conference Championship,"Cary, NC"
15-Oct,Coastal 10 Conference Championship,"Manteo, NC"
15-Oct,Coastal Conference Championship,"Havelock, NC"
15-Oct,Four County Conference Meet,"Rocky Point, NC"
15-Oct,Greater Neuse River Conference Championship,"Wendell, NC"
15-Oct,Metro Conference Championship,"Pleasant Garden, NC"
15-Oct,Mid-State 3A Conference Meet,"Pleasant Garden, NC"
15-Oct,North Piedmont Conference Championship,"Statesville, NC"
15-Oct,Northern Carolina Conference Championship,"Bunn, NC"
15-Oct,PAC-6 Conference Championship,"Durham, NC"
15-Oct,South Mountain Athletic Conference Championship,"Kings Mountain, NC"
15-Oct,South Piedmont Conference Championships,"Concord, NC"
15-Oct,Southeastern Conference Championship,"Hoke County, NC"
15-Oct,Southern Carolina Conference Championship,"Matthews, NC"
15-Oct,Southern Piedmont 1A Conference Championship,"Davidson, NC"
15-Oct,Three Rivers Conference Championships,"Lumberton, NC"
15-Oct,Western NC Athletic Conference Championship,"Cullowee, NC"
15-Oct,Western Piedmont Athletic Conference Meet,"Dobson, NC"
16-Oct,2 Rivers (1A) Conference Championship,"Tarboro, NC"
16-Oct,2 Rivers (3A) Conference Championship,"Smithfield, NC"
16-Oct,2A Eastern Carolina Conference Championships,"Deep Run, NC"
16-Oct,Big East Conference Championship,"Rocky Mount, NC"
16-Oct,Big South Conference Championships Entries Closed,"Gastonia, NC"
16-Oct,Cape Fear Valley Conference Championship,", NC"
16-Oct,Central Piedmont Conference Championship,"Clemmons, NC"
16-Oct,CFIC Championship,"Fayetteville, NC"
16-Oct,Eastern Carolina Conference Championship,"Greenville,"
16-Oct,MeCKa Conference Championships,"Concord, NC"
16-Oct,Mid-Piedmont Conference Championship,"Pleasant Garden, NC"
16-Oct,Mid-South Conference Championship,"Hope Mills, NC"
16-Oct,Mountain Athletic Conference Championship,"Swannanoa, NC"
16-Oct,Northeastern Coastal Conference Meet,"Elizabeth City, NC"
16-Oct,Northwestern Conference Championship,"Morganton, NC"
16-Oct,Piedmont Triad Conference Championship,"Kernersville, NC"
16-Oct,Smoky Mountain Conference Championship,"Cherokee, NC"
16-Oct,Southwestern Conference Championship,"Charlotte, NC"
16-Oct,Southwestern Wake Athletic Conference Championship,"Cary, NC"
16-Oct,Western Highlands Conference Championship,"Hendersonville, NC"
16-Oct,Yadkin Valley Conference Championship,"Mount Gilead, NC"
17-Oct,Mideastern Conference Championship,"Wilmington, NC"
17-Oct,Northwest Conference Championship,"Kernersville, NC"
17-Oct,SoMeck Conference Championship,"Charlotte, NC"
17-Oct,TAC Championship,"Clemmons, NC"
17-Oct,TISAC Championship,"Cary, NC"
18-Oct,CAA Championship,"Arden, NC"
18-Oct,CISAA Championship,"Charlotte, NC"
18-Oct,CPIC Championship,"New Bern, NC"
18-Oct,EPIC Championship,"Henderson, NC"
18-Oct,North Central Athletic Conference Championship,"Cary, NC"
22-Oct,JV Regionals,"Charlotte, NC"
25-Oct,NCISAA State Championships,"Pleasant Garden, NC"
26-Oct,NCHSAA 1A East Regional Entries Closed,"Manteo, NC"
26-Oct,NCHSAA 1A Mideast Regional Entries Closed,"Cary, NC"
26-Oct,NCHSAA 1A Midwest Regional Entries Closed,"Kernersville, NC"
26-Oct,NCHSAA 1A West Regional Entries Closed,"Cherokee, NC"
26-Oct,NCHSAA 2A East Regional Entries Closed,"Winterville, NC"
26-Oct,NCHSAA 2A Mideast Regional Entries Closed,"Cary, NC"
26-Oct,NCHSAA 2A Midwest Regional Entries Closed,"Kernersville, NC"
26-Oct,NCHSAA 2A West Regional Entries Closed,"Morganton, NC"
26-Oct,NCHSAA 3A East Regional Entries Closed,"Rocky Mount, NC"
26-Oct,NCHSAA 3A Mideast Regional Entries Closed,"Pleasant Garden, NC"
26-Oct,NCHSAA 3A Midwest Regional Entries Closed,"Charlotte, NC"
26-Oct,NCHSAA 3A West Regional Entries Closed,"Morganton, NC"
26-Oct,NCHSAA 4A East Regional Entries Closed,"Hope Mills, NC"
26-Oct,NCHSAA 4A Mideast Regional Entries Closed,"Cary, NC"
26-Oct,NCHSAA 4A Midwest Regional Entries Closed,"Kernersville, NC"
26-Oct,NCHSAA 4A West Regional Entries Closed,"Charlotte, NC"
2-Nov,NCHSAA State Championships,"Kernersville, NC"
16-Nov,Dash for Doobie 2 Mile,"Winston-Salem, NC"
17-Nov,NC USATF Junior Olympic State Championship,"Pleasant Garden, NC"
23-Nov,Chargers Postseason Tune-Up,"Charlotte, NC"
30-Nov,Foot Locker South Regional,"Charlotte, NC"
30-Nov,Nike Cross Nationals Southeast Regional,"Cary, NC"
