DateOfMeet,MeetName,Location
15-Sep,Owen Invitational,"Montreat, NC"
15-Sep,Raleigh Charter Home Meet,"Cary, NC"
15-Sep,Southeastern Conference Regular Season Meet,"Southern Pines, NC"
17-Sep,River Run Invitational Entries Closed,"Dobson, NC"
17-Sep,adidas Cross Country Challenge,"Cary, NC"
17-Sep,Freedom Invitational,"Morganton, NC"
17-Sep,Hilltopper Invitational,"Lynchburg, VA"
17-Sep,Lake Norman,", NC"
17-Sep,Lincolnton Home Meet,"Lincolnton, NC"
17-Sep,Weddington XC Invitational,"Matthews, NC"
19-Sep,CVAC Regular Season Meet,"Newton, NC"
20-Sep,Chatham Central Quad Meet,"Bear Creek, NC"
20-Sep,"E. Alamance, Morehead, Williams @ Northern Guilford","Greensboro, NC"
20-Sep,Gil Murdock Memorial Relays,"Charlotte, NC"
20-Sep,Greensboro Day vs Southern Alamance,"Greensboro, NC"
20-Sep,Ledford Home Meet,"Thomasville , NC"
20-Sep,MAC Regular Season Meet,"Huntersville, NC"
20-Sep,Northwood Home Meet,"Pittsboro, NC"
20-Sep,Shelby Invitational,"Shelby, NC"
21-Sep,Cape Fear Valley Meet,"Sanford, NC"
21-Sep,Havelock HS Conference Meet,", NC"
21-Sep,Heritage v. Millbrook,", NC"
21-Sep,Mid-South Regular Season Meet,"Fayetteville, NC"
21-Sep,North Buncombe Invitational,"Weaverville, NC"
21-Sep,Ragsdale/East Forsyth/Glenn,"Pleasant Garden, NC"
21-Sep,South Mecklenburg Invitational,"Charlotte, NC"
21-Sep,Statesville Invitational,"Statesville, NC"
21-Sep,SW Guilford/NW Guilford/Parkland/HP Central Quad,"High Point, NC"
22-Sep,Myers Park Home Meet,"Charlotte, NC"
22-Sep,Union County Championship XC Meet,"Wingate, NC"
24-Sep,Bulldog Stampede,"Wingate, NC"
24-Sep,Greensboro Cross Country Invitational Entries Closed,"Pleasant Garden, NC"
24-Sep,High Country CC Classic Entries Closed,"Boone, NC"
24-Sep,Onslow County Meet,"Jacksonville, NC"
26-Sep,CISAA Regular Season Meet,"Charlotte, NC"
26-Sep,GCMSAA Regular Season Meet,"Charlotte, NC"
26-Sep,Granville County Cup,"Oxford, NC"
27-Sep,ACA Invitational,"Swannanoa, NC"
27-Sep,Bunker Hill/Murrays Mill Pre Regional,"Catawba, NC"
27-Sep,Carolina 12 Conference Invitational,"Pittsboro, NC"
27-Sep,Cummings Home Meet,"Burlington, NC"
27-Sep,MAC Regular Season Meet,"Charlotte, NC"
27-Sep,North Rowan Tri-Meet,"Spencer, NC"
27-Sep,Swansboro Home Meet,"Swansboro, NC"
28-Sep,3A All Conference Meet,"Wilson, NC"
28-Sep,Cape Fear Valley Regular Season Meet,"Fayetteville, NC"
28-Sep,Cape Fear Valley Regular Season Meet,"Spring Lake, NC"
28-Sep,Coastal Plains Conference Regular Season Meet,"Lejeune, NC"
28-Sep,Heritage Home Meet,"Wake Forest, NC"
28-Sep,Metro Conference Regular Season Meet,"Graham, NC"
28-Sep,Mid-South Regular Season Meet,"Fayetteville, NC"
28-Sep,North Iredell Meet,"Various, NC"
28-Sep,Ragsdale/Parkland/HP Central/E Forsyth Quad,"Kernersville, NC"
29-Sep,North Rowan Quad-Meet,"Spencer, NC"
9/3010/1,Great American Cross Country Festival,"Cary, NC"
1-Oct,American Independent Schools XC Championship,"Cary, NC"
1-Oct,Hagan Stone XC Classic Entries Closed,"Pleasant Garden, NC"
1-Oct,Murrays Mill Cross Country Invitational Entries Closed,"Catawba, NC"
1-Oct,Wendys Invitational,"Charlotte, NC"
4-Oct,Burke County Championship,"Valdese, NC"
4-Oct,Cedar Ridge Home Meet,"Hillsborough, NC"
4-Oct,Cummings Home Meet,"Burlington, NC"
4-Oct,Durham City-County Championship,"Durham, NC"
4-Oct,East Duplin Home Meet,"Buelaville, NC"
4-Oct,GCMSAA Regular Season Meet,"Charlotte, NC"
4-Oct,MAC Regular Season Meet,"Gastonia, NC"
4-Oct,Northern Guilford @ Morehead,"Greensboro, NC"
4-Oct,Northwood Home Meet,"Pittsboro, NC"
5-Oct,Buncombe County Meet,"Arden, NC"
5-Oct,Cape Fear Valley Meet,"Fayetteville, NC"
5-Oct,Catawba County Championship,"Catawba, NC"
5-Oct,CISAA Regular Season Meet,"Charlotte, NC"
5-Oct,Coastal Plains Regular Season Meet,"Jacksonville, NC"
5-Oct,Douglas Byrd XC course Jordan Soccer Cplx,"Fayetteville, NC"
5-Oct,Heritage v. Leesville,"Raleigh, NC"
5-Oct,Myers Park Meet #2,"Charlotte, NC"
5-Oct,Northwest Guilford/Ragsdale,"Greensboro, NC"
5-Oct,Northwestern 3A/4A Pre Conference,"Lenoir, NC"
5-Oct,O'Neal Invitational,"Southern Pines, NC"
5-Oct,Rowan County Championships,"Salisbury, NC"
5-Oct,SW Guilford/Parkland/E Forsyth/Glenn Quad,", NC"
5-Oct,Washington HS Conference Meet,"Washington, NC"
6-Oct,Northwest Cabarrus Home Meet,"Concord, NC"
6-Oct,Southern Vance Invitational,"Henderson, NC"
6-Oct,SPC Meet,"Kannapolis, NC"
6-Oct,WHC Pre-Conference Meet,"Black Mountain, NC"
8-Oct,4 Runners Only Cross Country Carnival Entries Closed,"Kernersville, NC"
8-Oct,Bo Run Invitational,"Greenville, NC"
8-Oct,Orange County Meet,"Chapel Hill, NC"
11-Oct,DSA Home Meet,"Durham, NC"
11-Oct,MAC Regular Season Meet,"Charlotte, NC"
11-Oct,Northwood Home Meet,"Pittsboro, NC"
11-Oct,South Lenoir Home Meet,"Deep Run, NC"
12-Oct,Cape Fear Valley Regular Season Meet,"Cameron, NC"
12-Oct,Cape Fear Valley-Grays Creek meet,", NC"
12-Oct,CISAA Regular Season Meet,"Charlotte, NC"
12-Oct,Coastal Plains Regular Season Meet,"Holly Ridge, NC"
12-Oct,GCMSAA Regular Season Meet,"Charlotte, NC"
12-Oct,Heritage v. Wakefield,", NC"
12-Oct,Metro #4,"Greensboro, NC"
12-Oct,Mid-South Regular Season Meet,"Fayetteville, NC"
12-Oct,Parkland/E Forsyth/NW Guilford Tri,"Raleigh, NC"
12-Oct,Southwest Guilford/Ragsdale,"High Point, NC"
12-Oct,United Way Invitational,"Newton, NC"
12-Oct,West Craven HS Conference Meet,", NC"
13-Oct,Cannon School Home Meet,"Concord, NC"
13-Oct,NRCA @ Ravenscroft,"Raleigh, NC"
15-Oct,Central Piedmont Conference Championship,"Clemmons, NC"
15-Oct,Girls Sports Day XC Meet,"Asheville, NC"
17-Oct,Catawba Valley Athletic Conference Championship,"Newton, NC"
17-Oct,CISAA Championship,"Charlotte, NC"
17-Oct,GCMSAA Championship,"Charlotte, NC"
17-Oct,MAC Championship Meet,"Charlotte, NC"
18-Oct,3A Coastal Conference Championship,"Winterville, NC"
18-Oct,CAP-8 Conference Championship,"Cary, NC"
18-Oct,Carolina (3A) Conference Championship,"Buies Creek, NC"
18-Oct,Carolina 12 Conference Championship,"Pittsboro, NC"
18-Oct,Central Carolina Conference,"Salisbury, NC"
18-Oct,CFIC Championship,"Hoke County, NC"
18-Oct,East Central Conference Championships,"Buelaville, NC"
18-Oct,Metro Conference Championship,"Pleasant Garden, NC"
18-Oct,Mid-Piedmont Conference Championship,"Gibbsonville, NC"
18-Oct,Mountain Athletic Conference Championship,"Weaverville, NC"
18-Oct,Northwest 1A/2A Conference Cross Country Championships,"Kernersville, NC"
18-Oct,Rocky River Conference Championship,"Waxhaw, NC"
18-Oct,South Mountain Athletic Conference Championship,"Morganton, NC"
18-Oct,South Piedmont Conference Championship,"Concord, NC"
18-Oct,Southeastern Conference Championship,"Rockingham, NC"
18-Oct,Southern Carolina Conference Championship,"Wingate, NC"
18-Oct,Southern Piedmont Conference Championship,"Denver, NC"
18-Oct,WNC Athletic Conference Championship,"Cullowee, NC"
18-Oct,Yadkin Valley Conference Championship,"Bear Creek, NC"
19-Oct,Cape Fear Valley Conference Championship,"Fayetteville, NC"
19-Oct,Coastal Plains Conference Championship,"Pamlico, NC"
19-Oct,IMECK Conference Championship,"Charlotte, NC"
19-Oct,Mid State 3A Conference Meet,"Gibsonville, NC"
19-Oct,Mid-South Conference Championship,"Fayetteville, NC"
19-Oct,North Piedmont Conference Championships,"Statesville, NC"
19-Oct,Northwestern 3A/4A Conference Championships,"Lenoir, NC"
19-Oct,Piedmont Triad Conference Championships,"Kernersville, NC"
19-Oct,Smoky Mountain Conference Championship,"Cherokee, NC"
19-Oct,Tri-Nine Conference Championship,"Cary, NC"
20-Oct,Mideastern Conference Championships,"Wilmington, NC"
20-Oct,PACIS Conference Meet,"Pleasant Garden, NC"
20-Oct,Southwestern Conference Meet,"Charlotte, NC"
20-Oct,Western Highlands Conference Championship,"Black Mountain, NC"
21-Oct,CPIC Championship,"New Bern, NC"
21-Oct,TISAC Conference Meet,"Cary, NC"
22-Oct,Carolina Athletic Association Championships,"Arden, NC"
28-Oct,NCISAA State Championship,"Charlotte, NC"
29-Oct,NCHSAA 1A East Regional,"Pinetown, NC"
29-Oct,NCHSAA 1A Mideast Regional,"Burgaw, NC"
29-Oct,NCHSAA 1A Midwest Regional Entries Closed,"Kernersville, NC"
29-Oct,NCHSAA 1A West Regional,"Cherokee, NC"
29-Oct,NCHSAA 2A East Regional,"Winterville, NC"
29-Oct,NCHSAA 2A Mideast Regional,"Pittsboro, NC"
29-Oct,NCHSAA 2A Midwest Regional,"Waxhaw, NC"
29-Oct,NCHSAA 2A West Regional,"Catawba, NC"
29-Oct,NCHSAA 3A East Regional,"Wilson, NC"
29-Oct,NCHSAA 3A Mideast Regional,"Chapel Hill, NC"
29-Oct,NCHSAA 3A Midwest Regional,"Kannapolis, NC"
29-Oct,NCHSAA 3A West Regional,"Catawba, NC"
29-Oct,NCHSAA 4A East Regional,"Hope Mills, NC"
29-Oct,NCHSAA 4A Mideast Regional,"Cary, NC"
29-Oct,NCHSAA 4A Midwest Regional Entries Closed,"Kernersville, NC"
29-Oct,NCHSAA 4A West Regional,"Charlotte, NC"
31-Oct,Fright Night 5k,"Greensboro, NC"
5-Nov,NCHSAA State Championship,"Kernersville, NC"
6-Nov,NC USATF Championship,"Pleasant Garden, NC"
11-Nov,Reagan Two-Mile Tune-Up,"Winston-Salem, NC"
18-Nov,Broughton Two-Mile Tune-Up,"Raleigh, NC"
19-Nov,Chargers Post Season Tune-Up,"Charlotte, NC"
20-Nov,Glen Alpine Turkey Trot,"Glen Alpine, NC"
26-Nov,Foot Locker South Regional,"Charlotte, NC"
26-Nov,Nike Cross Nationals Southeast Regional,"Cary, NC"
7-Mar,"Metro Tri Meet (Page, Southern Alamance, Western Guilford)","Greensboro, NC"
15-Mar,Fuquay/Lee,"Fuquay-Varina, NC"
27-Mar,1A Coastal plains conference meet,", NC"
28-Mar,Rocky River Home Meet (2),"Charlotte, NC"
28-Mar,Vance Home Meet,"Charlotte, NC"
18-Apr,Piedmont triad 4A Conference,"Kernersville, NC"
